familia;indice_fam;subposicion_1;subposicion_2;subposicion_3;subposicion_4;energia
145;1;1;4;4;5;10.5780441
145;2;4;1;5;4;10.5780441
145;3;5;4;4;1;10.5780441
145;4;4;5;1;4;10.5780441
146;1;1;4;5;5;11.9447479
146;2;4;1;5;5;11.9447479
146;3;5;5;4;1;11.9447479
146;4;5;5;1;4;11.9447479
147;1;1;5;2;5;9.364946
147;2;5;1;5;2;9.364946
147;3;5;2;5;1;9.364946
147;4;2;5;1;5;9.364946
148;1;1;5;3;5;10.4508385
148;2;5;1;5;3;10.4508385
148;3;5;3;5;1;10.4508385
148;4;3;5;1;5;10.4508385
149;1;1;5;4;5;11.9447479
149;2;5;1;5;4;11.9447479
149;3;5;4;5;1;11.9447479
149;4;4;5;1;5;11.9447479
150;1;1;5;5;5;13.3114517
150;2;5;1;5;5;13.3114517
150;3;5;5;5;1;13.3114517
150;4;5;5;1;5;13.3114517
151;1;2;0;0;3;1.2071015
151;2;0;2;3;0;1.2071015
151;3;3;0;0;2;1.2071015
151;4;0;3;2;0;1.2071015
152;1;2;0;0;4;2.7010109
152;2;0;2;4;0;2.7010109
152;3;4;0;0;2;2.7010109
152;4;0;4;2;0;2.7010109
153;1;2;0;0;5;4.0677147
153;2;0;2;5;0;4.0677147
153;3;5;0;0;2;4.0677147
153;4;0;5;2;0;4.0677147
154;1;2;0;1;2;1.4113300999999998
154;2;0;2;2;1;1.4113300999999998
154;3;2;1;0;2;1.4113300999999998
154;4;1;2;2;0;1.4113300999999998
155;1;2;0;1;3;2.4972225999999997
155;2;0;2;3;1;2.4972225999999997
155;3;3;1;0;2;2.4972226
155;4;1;3;2;0;2.4972226
156;1;2;0;1;4;3.9911319999999995
156;2;0;2;4;1;3.991132
156;3;4;1;0;2;3.991132
156;4;1;4;2;0;3.991132
157;1;2;0;1;5;5.357835799999999
157;2;0;2;5;1;5.3578358
157;3;5;1;0;2;5.3578358
157;4;1;5;2;0;5.3578358
158;1;2;0;2;3;1.267706
158;2;0;2;3;2;1.267706
158;3;3;2;0;2;1.267706
158;4;2;3;2;0;1.267706
159;1;2;0;2;4;2.7616153999999997
159;2;0;2;4;2;2.7616154
159;3;4;2;0;2;2.7616154
159;4;2;4;2;0;2.7616154
160;1;2;0;2;5;4.1283192
160;2;0;2;5;2;4.1283192
160;3;5;2;0;2;4.1283192
160;4;2;5;2;0;4.1283192
161;1;2;0;3;4;3.8475079
161;2;0;2;4;3;3.8475079
161;3;4;3;0;2;3.8475079
161;4;3;4;2;0;3.8475079
162;1;2;0;3;5;5.2142117
162;2;0;2;5;3;5.2142117
162;3;5;3;0;2;5.2142117
162;4;3;5;2;0;5.2142117
163;1;2;0;4;5;6.7081211
163;2;0;2;5;4;6.7081211
163;3;5;4;0;2;6.7081211
163;4;4;5;2;0;6.7081211
164;1;2;1;0;3;2.4972225999999997
164;2;1;2;3;0;2.4972225999999997
164;3;3;0;1;2;2.4972226
164;4;0;3;2;1;2.4972225999999997
165;1;2;1;0;4;3.9911319999999995
165;2;1;2;4;0;3.9911319999999995
165;3;4;0;1;2;3.991132
165;4;0;4;2;1;3.991132
166;1;2;1;0;5;5.357835799999999
166;2;1;2;5;0;5.357835799999999
166;3;5;0;1;2;5.3578358
166;4;0;5;2;1;5.3578358
167;1;2;1;1;3;3.7873437
167;2;1;2;3;1;3.7873436999999996
167;3;3;1;1;2;3.7873437
167;4;1;3;2;1;3.7873437
168;1;2;1;1;4;5.2812531
168;2;1;2;4;1;5.281253099999999
168;3;4;1;1;2;5.2812531
168;4;1;4;2;1;5.2812531
169;1;2;1;1;5;6.6479569
169;2;1;2;5;1;6.647956899999999
169;3;5;1;1;2;6.6479569000000005
169;4;1;5;2;1;6.6479569000000005
170;1;2;1;2;3;2.5578271
170;2;1;2;3;2;2.5578271
170;3;3;2;1;2;2.5578271
170;4;2;3;2;1;2.5578271
171;1;2;1;2;4;4.0517365
171;2;1;2;4;2;4.0517365
171;3;4;2;1;2;4.0517365
171;4;2;4;2;1;4.0517365000000005
