familia;indice_fam;subposicion_1;subposicion_2;subposicion_3;subposicion_4;energia
114;4;1;5;1;2;8.0749668
115;1;1;2;2;2;4.2522305
115;2;2;1;2;2;4.2522305
115;3;2;2;2;1;4.2522305
115;4;2;2;1;2;4.2522305
116;1;1;2;2;3;3.7533492
116;2;2;1;3;2;3.7533492
116;3;3;2;2;1;3.7533492
116;4;2;3;1;2;3.7533492
117;1;1;2;2;4;8.6502274
117;2;2;1;4;2;8.6502274
117;3;4;2;2;1;8.6502274
117;4;2;4;1;2;8.6502274
118;1;1;2;2;5;6.9136462
118;2;2;1;5;2;6.9136462
118;3;5;2;2;1;6.9136462
118;4;2;5;1;2;6.9136462
119;1;1;2;3;3;6.9219531
119;2;2;1;3;3;6.9219531
119;3;3;3;2;1;6.9219531
119;4;3;3;1;2;6.9219531
120;1;1;2;3;4;8.6472248
120;2;2;1;4;3;8.6472248
120;3;4;3;2;1;8.6472248
120;4;3;4;1;2;8.6472248
121;1;1;2;3;5;6.3215749
121;2;2;1;5;3;6.3215749
121;3;5;3;2;1;6.3215749
121;4;3;5;1;2;6.3215749
122;1;1;2;4;4;10.0325973
122;2;2;1;4;4;10.0325973
122;3;4;4;2;1;10.0325973
122;4;4;4;1;2;10.0325973
123;1;1;2;4;5;6.3390194
123;2;2;1;5;4;6.3390194
123;3;5;4;2;1;6.3390194
123;4;4;5;1;2;6.3390194
124;1;1;2;5;5;10.7621477
124;2;2;1;5;5;10.7621477
124;3;5;5;2;1;10.7621477
124;4;5;5;1;2;10.7621477
125;1;1;3;0;4;6.2397671
125;2;3;1;4;0;6.2397671
125;3;4;0;3;1;6.2397671
125;4;0;4;1;3;6.2397671
126;1;1;3;0;5;4.7280775
126;2;3;1;5;0;4.7280775
126;3;5;0;3;1;4.7280775
126;4;0;5;1;3;4.7280775
127;1;1;3;1;4;9.9147899
127;2;3;1;4;1;9.9147899
127;3;4;1;3;1;9.9147899
127;4;1;4;1;3;9.9147899
128;1;1;3;1;5;9.3249298
128;2;3;1;5;1;9.3249298
128;3;5;1;3;1;9.3249298
128;4;1;5;1;3;9.3249298
129;1;1;3;2;3;4.835717
129;2;3;1;3;2;4.835717
129;3;3;2;3;1;4.835717
129;4;2;3;1;3;4.835717
130;1;1;3;2;4;9.5732724
130;2;3;1;4;2;9.5732724
130;3;4;2;3;1;9.5732724
130;4;2;4;1;3;9.5732724
131;1;1;3;2;5;7.3957043
131;2;3;1;5;2;7.3957043
131;3;5;2;3;1;7.3957043
131;4;2;5;1;3;7.3957043
132;1;1;3;3;3;5.1482578
132;2;3;1;3;3;5.1482578
132;3;3;3;3;1;5.1482578
132;4;3;3;1;3;5.1482578
133;1;1;3;3;4;7.0976474
133;2;3;1;4;3;7.0976474
133;3;4;3;3;1;7.0976474
133;4;3;4;1;3;7.0976474
134;1;1;3;3;5;4.7350955
134;2;3;1;5;3;4.7350955
134;3;5;3;3;1;4.7350955
134;4;3;5;1;3;4.7350955
135;1;1;3;4;4;8.7307256
135;2;3;1;4;4;8.7307256
135;3;4;4;3;1;8.7307256
135;4;4;4;1;3;8.7307256
136;1;1;3;4;5;6.1181645
136;2;3;1;5;4;6.1181645
136;3;5;4;3;1;6.1181645
136;4;4;5;1;3;6.1181645
137;1;1;3;5;5;9.3016979
137;2;3;1;5;5;9.3016979
137;3;5;5;3;1;9.3016979
137;4;5;5;1;3;9.3016979
138;1;1;4;0;5;6.3326528
138;2;4;1;5;0;6.3326528
138;3;5;0;4;1;6.3326528
138;4;0;5;1;4;6.3326528
139;1;1;4;1;5;11.4293182
139;2;4;1;5;1;11.4293182
139;3;5;1;4;1;11.4293182
139;4;1;5;1;4;11.4293182
140;1;1;4;2;4;10.2506599
140;2;4;1;4;2;10.2506599
140;3;4;2;4;1;10.2506599
140;4;2;4;1;4;10.2506599
141;1;1;4;2;5;6.372804
141;2;4;1;5;2;6.372804
141;3;5;2;4;1;6.372804
141;4;2;5;1;4;6.372804
142;1;1;4;3;4;7.9468821
142;2;4;1;4;3;7.9468821
142;3;4;3;4;1;7.9468821
142;4;3;4;1;4;7.9468821
143;1;1;4;3;5;4.5074159
143;2;4;1;5;3;4.5074159
143;3;5;3;4;1;4.5074159
143;4;3;5;1;4;4.5074159
144;1;1;4;4;4;10.8644553
144;2;4;1;4;4;10.8644553
144;3;4;4;4;1;10.8644553
144;4;4;4;1;4;10.8644553
145;1;1;4;4;5;7.6212027
145;2;4;1;5;4;7.6212027
